"filename", "language", "GDScene", "GDScript", "comment", "blank", "total"
"d:\Program\GameProgramming\GameExplorer_V1\levels\level_1.gd", "GDScript", 0, 36, 17, 11, 64
"d:\Program\GameProgramming\GameExplorer_V1\levels\level_1.tscn", "GDScene", 51, 0, 0, 19, 70
"d:\Program\GameProgramming\GameExplorer_V1\levels\level_2.gd", "GDScript", 0, 845, 186, 217, 1248
"d:\Program\GameProgramming\GameExplorer_V1\levels\level_2.tscn", "GDScene", 27, 0, 0, 11, 38
"Total", "-", 78, 881, 203, 258, 1420
