"filename", "language", "GDScene", "GDScript", "comment", "blank", "total"
"d:\Program\GameProgramming\GameExplorer_V1\levels\level_1.gd", "GDScript", 0, 36, 17, 11, 64
"d:\Program\GameProgramming\GameExplorer_V1\levels\level_1.tscn", "GDScene", 51, 0, 0, 19, 70
"d:\Program\GameProgramming\GameExplorer_V1\levels\level_2.gd", "GDScript", 0, 845, 186, 217, 1248
"d:\Program\GameProgramming\GameExplorer_V1\levels\level_2.tscn", "GDScene", 27, 0, 0, 11, 38
"d:\Program\GameProgramming\GameExplorer_V1\scenes\Door.gd", "GDScript", 0, -112, -62, -33, -207
"d:\Program\GameProgramming\GameExplorer_V1\scenes\HPBean.gd", "GDScript", 0, -31, -4, -13, -48
"d:\Program\GameProgramming\GameExplorer_V1\scenes\Hp_bean.tscn", "GDScene", -27, 0, 0, -9, -36
"d:\Program\GameProgramming\GameExplorer_V1\scenes\IronSword.tscn", "GDScene", -6, 0, 0, -3, -9
"d:\Program\GameProgramming\GameExplorer_V1\scenes\Key.gd", "GDScript", 0, -39, -14, -16, -69
"d:\Program\GameProgramming\GameExplorer_V1\scenes\Key.tscn", "GDScene", -28, 0, 0, -9, -37
"d:\Program\GameProgramming\GameExplorer_V1\scenes\Player.gd", "GDScript", 0, -460, -130, -139, -729
"d:\Program\GameProgramming\GameExplorer_V1\scenes\Sword.gd", "GDScript", 0, -85, -6, -17, -108
"d:\Program\GameProgramming\GameExplorer_V1\scenes\Sword.tscn", "GDScene", -63, 0, 0, -12, -75
"d:\Program\GameProgramming\GameExplorer_V1\scenes\WeaponData.gd", "GDScript", 0, -6, -1, -1, -8
"d:\Program\GameProgramming\GameExplorer_V1\scenes\door.tscn", "GDScene", -55, 0, 0, -12, -67
"d:\Program\GameProgramming\GameExplorer_V1\scenes\goblin.gd", "GDScript", 0, -201, -33, -65, -299
"d:\Program\GameProgramming\GameExplorer_V1\scenes\goblin.tscn", "GDScene", -426, 0, 0, -104, -530
"d:\Program\GameProgramming\GameExplorer_V1\scenes\player.tscn", "GDScene", -499, 0, 0, -78, -577
"d:\Program\GameProgramming\GameExplorer_V1\scenes\skelontonEnemy.gd", "GDScript", 0, -463, -97, -136, -696
"d:\Program\GameProgramming\GameExplorer_V1\scenes\skelontonEnemy.tscn", "GDScene", -303, 0, 0, -55, -358
"d:\Program\GameProgramming\GameExplorer_V1\scenes\slime.gd", "GDScript", 0, -111, -32, -37, -180
"d:\Program\GameProgramming\GameExplorer_V1\scenes\slime.tscn", "GDScene", -53, 0, 0, -14, -67
"Total", "-", -1382, -627, -176, -495, -2680
