"filename", "language", "GDScene", "GDScript", "comment", "blank", "total"
"d:\Program\GameProgramming\GameExplorer_V1\scenes\Player.gd", "GDScript", 0, 106, 29, 31, 166
"d:\Program\GameProgramming\GameExplorer_V1\scenes\goblin.tscn", "GDScene", 4, 0, 0, 4, 8
"d:\Program\GameProgramming\GameExplorer_V1\scenes\player.tscn", "GDScene", -1, 0, 0, 0, -1
"d:\Program\GameProgramming\GameExplorer_V1\scenes\skelontonEnemy.gd", "GDScript", 0, 76, 32, 30, 138
"d:\Program\GameProgramming\GameExplorer_V1\scenes\slime.gd", "GDScript", 0, 6, 4, 4, 14
"Total", "-", 3, 188, 65, 69, 325
