"filename", "language", "GDScript", "GDScene", "comment", "blank", "total"
"d:\Program\GameProgramming\GameExplorer_V1\levels\base_level.tscn", "GDScene", 0, 25, 0, 10, 35
"d:\Program\GameProgramming\GameExplorer_V1\levels\level_1.gd", "GDScript", 188, 0, 54, 51, 293
"d:\Program\GameProgramming\GameExplorer_V1\levels\level_1.tscn", "GDScene", 0, 60, 0, 22, 82
"d:\Program\GameProgramming\GameExplorer_V1\levels\level_2.gd", "GDScript", 942, 0, 198, 233, 1373
"d:\Program\GameProgramming\GameExplorer_V1\levels\level_2.tscn", "GDScene", 0, 27, 0, 11, 38
"d:\Program\GameProgramming\GameExplorer_V1\levels\level_3.gd", "GDScript", 28, 0, 51, 9, 88
"d:\Program\GameProgramming\GameExplorer_V1\levels\level_4.gd", "GDScript", 32, 0, 9, 8, 49
"d:\Program\GameProgramming\GameExplorer_V1\levels\level_base.gd", "GDScript", 672, 0, 85, 132, 889
"d:\Program\GameProgramming\GameExplorer_V1\levels\level_manager.gd", "GDScript", 148, 0, 14, 20, 182
"Total", "-", 2010, 112, 411, 496, 3029
