"filename", "language", "GDScene", "GDScript", "comment", "blank", "total"
"d:\Program\GameProgramming\GameExplorer_V1\levels\level_1.gd", "GDScript", 0, 36, 17, 11, 64
"d:\Program\GameProgramming\GameExplorer_V1\levels\level_1.tscn", "GDScene", 51, 0, 0, 19, 70
"d:\Program\GameProgramming\GameExplorer_V1\levels\level_2.gd", "GDScript", 0, 396, 108, 113, 617
"d:\Program\GameProgramming\GameExplorer_V1\levels\level_2.tscn", "GDScene", 43, 0, 0, 19, 62
"Total", "-", 94, 432, 125, 162, 813
